customer_id,gross_revenue,avg_ticket,recency_days,frequency,total_invoices,items,products,avg_basket_size,avg_unique_basket_size,returns_qtt,cluster
17850,5391.21,18.15222222222222,372.0,17.0,34.0,1733.0,297.0,50.970588235294116,0.6176470588235294,40.0,2
13047,3232.59,18.9040350877193,56.0,0.02830188679245283,9.0,1390.0,171.0,154.44444444444446,11.666666666666666,35.0,2
12583,6705.38,28.9025,2.0,0.04032258064516129,15.0,5028.0,232.0,335.2,7.6,50.0,1
13748,948.25,33.86607142857143,95.0,0.017921146953405017,5.0,439.0,28.0,87.8,4.8,0.0,4
15100,876.0,292.0,333.0,0.07317073170731707,3.0,80.0,3.0,26.666666666666668,0.3333333333333333,22.0,6
15291,4623.3,45.326470588235296,25.0,0.04011461318051576,14.0,2102.0,102.0,150.14285714285714,4.357142857142857,29.0,1
14688,5630.87,17.219785932721713,7.0,0.05722070844686648,21.0,3621.0,327.0,172.42857142857142,7.0476190476190474,399.0,1
17809,5411.91,88.71983606557377,16.0,0.0335195530726257,12.0,2057.0,61.0,171.41666666666666,3.8333333333333335,41.0,1
15311,60767.9,25.543463640184953,0.0,0.24331550802139038,91.0,38194.0,2379.0,419.7142857142857,6.230769230769231,474.0,1
16098,2005.63,29.934776119402986,87.0,0.024390243902439025,7.0,613.0,67.0,87.57142857142857,4.857142857142857,0.0,4
18074,489.6,37.66153846153846,373.0,1.0,1.0,190.0,13.0,190.0,13.0,0.0,7
17420,598.83,19.961000000000002,50.0,0.009259259259259259,3.0,265.0,30.0,88.33333333333333,9.333333333333334,0.0,5
16029,72882.09,302.4153112033195,38.0,0.18452380952380953,62.0,40207.0,241.0,648.5,0.6935483870967742,8004.0,1
16250,389.44,16.226666666666667,261.0,0.017699115044247787,2.0,208.0,24.0,104.0,11.0,0.0,5
12431,6382.45,27.392489270386264,35.0,0.04424778761061947,15.0,2899.0,233.0,193.26666666666668,10.8,50.0,1
17511,91062.38,94.5611422637591,2.0,0.08333333333333333,31.0,64549.0,963.0,2082.2258064516127,14.612903225806452,1535.0,1
17548,103.3,20.66,233.0,1.0,1.0,58.0,5.0,58.0,5.0,190.0,8
13705,711.86,25.423571428571428,7.0,0.008174386920980926,3.0,363.0,28.0,121.0,8.333333333333334,0.0,4
13747,79.6,79.6,373.0,1.0,1.0,8.0,1.0,8.0,1.0,0.0,9
13408,28117.04,58.82225941422595,1.0,0.16621983914209115,62.0,16232.0,478.0,261.80645161290323,3.774193548387097,104.0,1
13767,17220.36,46.79445652173913,2.0,0.09946236559139784,37.0,7322.0,368.0,197.8918918918919,1.4864864864864864,64.0,1
17924,2962.5,95.56451612903226,11.0,0.01928374655647383,7.0,1160.0,31.0,165.71428571428572,3.7142857142857144,19.0,3
13448,3539.37,18.150615384615385,16.0,0.01675977653631285,6.0,1660.0,195.0,276.6666666666667,22.833333333333332,22.0,2
15862,832.88,5.665850340136054,8.0,0.01092896174863388,4.0,585.0,147.0,146.25,35.5,0.0,4
15513,14758.220000000001,47.91629870129871,33.0,0.05571847507331378,19.0,5709.0,308.0,300.4736842105263,9.631578947368421,164.0,1
12791,177.60000000000002,177.60000000000002,373.0,1.0,1.0,96.0,1.0,96.0,1.0,0.0,6
16218,3084.68,36.72238095238095,29.0,0.020289855072463767,7.0,2088.0,84.0,298.2857142857143,8.0,11.0,1
14045,1659.75,276.625,109.0,0.01509433962264151,4.0,535.0,6.0,133.75,1.0,0.0,4
14307,2995.72,16.642888888888887,88.0,0.02097902097902098,6.0,2058.0,180.0,343.0,25.0,0.0,1
17908,243.28,4.19448275862069,373.0,1.0,1.0,173.0,58.0,173.0,51.0,0.0,5
17920,4192.2,6.031942446043165,4.0,0.04594594594594595,17.0,2514.0,695.0,147.88235294117646,23.88235294117647,0.0,1
12838,683.13,5.55390243902439,33.0,0.005865102639296188,2.0,359.0,123.0,179.5,57.5,0.0,4
13255,399.51,30.73153846153846,9.0,0.005479452054794521,2.0,177.0,13.0,88.5,6.5,3.0,5
16583,233.45,16.675,373.0,1.0,1.0,111.0,14.0,111.0,14.0,0.0,7
18085,689.95,23.79137931034483,330.0,0.045454545454545456,2.0,265.0,29.0,132.5,12.5,0.0,5
13758,3190.55,27.26965811965812,11.0,0.01928374655647383,7.0,1844.0,117.0,263.42857142857144,14.857142857142858,0.0,2
13694,65039.62,114.50637323943663,3.0,0.1347708894878706,50.0,63312.0,568.0,1266.24,7.32,1504.0,1
15983,1475.02,13.053274336283186,22.0,0.011363636363636364,4.0,892.0,113.0,223.0,20.5,0.0,3
14849,7930.54,20.439536082474227,21.0,0.0708215297450425,25.0,5694.0,388.0,227.76,6.36,38.0,1
17968,277.35,3.2629411764705885,373.0,1.0,1.0,160.0,85.0,160.0,74.0,0.0,5
16210,21076.3,172.75655737704918,1.0,0.045576407506702415,17.0,7558.0,122.0,444.5882352941176,4.294117647058823,0.0,1
17897,566.6,4.970175438596492,172.0,0.01485148514851485,3.0,229.0,114.0,76.33333333333333,33.333333333333336,6.0,5
17377,4100.92,9.810813397129186,23.0,0.05698005698005698,20.0,2076.0,418.0,103.8,9.5,1.0,1
16552,379.73,22.337058823529414,242.0,0.015151515151515152,2.0,219.0,17.0,109.5,8.5,0.0,5
17181,239.92000000000002,10.431304347826087,57.0,0.006309148264984227,2.0,241.0,23.0,120.5,11.5,0.0,5
17951,1008.5400000000001,50.42700000000001,39.0,0.008955223880597015,3.0,616.0,20.0,205.33333333333334,6.0,6.0,4
14729,313.49,4.415352112676056,373.0,1.0,1.0,197.0,71.0,197.0,69.0,0.0,5
12748,32317.32,7.056183406113537,0.0,0.5508021390374331,206.0,25511.0,4580.0,123.83980582524272,8.572815533980583,1535.0,1
15012,423.04,3.305,53.0,0.006230529595015576,2.0,231.0,128.0,115.5,55.0,0.0,5
12868,1607.0600000000002,15.0192523364486,185.0,0.031746031746031744,6.0,928.0,107.0,154.66666666666666,12.0,0.0,3
17572,226.75000000000003,18.895833333333336,71.0,0.013201320132013201,4.0,95.0,12.0,23.75,1.75,0.0,6
14078,1049.37,16.144153846153845,101.0,0.02197802197802198,6.0,310.0,65.0,51.666666666666664,7.666666666666667,0.0,4
14001,2043.0800000000002,52.38666666666667,45.0,0.00911854103343465,3.0,962.0,39.0,320.6666666666667,11.333333333333334,0.0,3
12662,3543.78,16.10809090909091,0.0,0.029411764705882353,11.0,2041.0,220.0,185.54545454545453,11.636363636363637,18.0,1
